[20:00:24.542][TRACE] dt=0.0002249
[20:00:25.370][TRACE] dt=0.0055811
[20:00:25.375][TRACE] dt=0.0054309
[20:00:25.381][TRACE] dt=0.0056864
[20:00:25.387][TRACE] dt=0.0059503
[20:00:25.392][TRACE] dt=0.0057948
[20:00:25.398][TRACE] dt=0.0054517
[20:00:25.403][TRACE] dt=0.0049351
[20:00:25.408][TRACE] dt=0.0055605
[20:00:25.414][TRACE] dt=0.0055032
[20:00:25.420][TRACE] dt=0.0056973
[20:00:25.425][TRACE] dt=0.0055283
[20:00:25.431][TRACE] dt=0.0054789
[20:00:25.436][TRACE] dt=0.0055968
[20:00:25.442][TRACE] dt=0.0055636
[20:00:25.447][TRACE] dt=0.0054736
[20:00:25.453][TRACE] dt=0.0056196
[20:00:25.458][TRACE] dt=0.0054926
[20:00:25.464][TRACE] dt=0.0055769
[20:00:25.470][TRACE] dt=0.0057248
[20:00:25.475][TRACE] dt=0.0054342
[20:00:25.481][TRACE] dt=0.0054949
[20:00:25.487][TRACE] dt=0.0061163
[20:00:25.492][TRACE] dt=0.0050524
[20:00:25.497][TRACE] dt=0.0055605
[20:00:25.503][TRACE] dt=0.0058776
[20:00:25.509][TRACE] dt=0.0054733
[20:00:25.514][TRACE] dt=0.0052833
[20:00:25.520][TRACE] dt=0.0055889
[20:00:25.525][TRACE] dt=0.0054784
[20:00:25.531][TRACE] dt=0.0055197
[20:00:25.536][TRACE] dt=0.0056477
[20:00:25.542][TRACE] dt=0.0054568
[20:00:25.553][TRACE] dt=0.0054114
[20:00:25.558][TRACE] dt=0.0053321
[20:00:25.564][TRACE] dt=0.0056656
[20:00:25.570][TRACE] dt=0.005368
[20:00:25.575][TRACE] dt=0.0055827
[20:00:25.581][TRACE] dt=0.0059838
[20:00:25.586][TRACE] dt=0.0050906
[20:00:25.592][TRACE] dt=0.0055898
[20:00:25.597][TRACE] dt=0.0055837
[20:00:25.603][TRACE] dt=0.0056128
[20:00:25.608][TRACE] dt=0.0054893
[20:00:25.614][TRACE] dt=0.0055588
[20:00:25.620][TRACE] dt=0.0056092
[20:00:25.625][TRACE] dt=0.0056568
[20:00:25.631][TRACE] dt=0.0053118
[20:00:25.636][TRACE] dt=0.0055999
[20:00:25.642][TRACE] dt=0.0056427
[20:00:25.647][TRACE] dt=0.0054928
[20:00:25.653][TRACE] dt=0.0056077
[20:00:25.659][TRACE] dt=0.0059672
[20:00:25.664][TRACE] dt=0.0050783
[20:00:25.669][TRACE] dt=0.0055023
[20:00:25.675][TRACE] dt=0.0055534
[20:00:25.681][TRACE] dt=0.0055746
[20:00:25.686][TRACE] dt=0.0055842
[20:00:25.692][TRACE] dt=0.0055634
[20:00:25.697][TRACE] dt=0.0054738
[20:00:25.703][TRACE] dt=0.0057716
[20:00:25.708][TRACE] dt=0.0054763
[20:00:25.714][TRACE] dt=0.0054898
[20:00:25.720][TRACE] dt=0.0058577
[20:00:25.725][TRACE] dt=0.0052499
[20:00:25.731][TRACE] dt=0.0055748
[20:00:25.736][TRACE] dt=0.0058413
[20:00:25.742][TRACE] dt=0.0052833
[20:00:25.747][TRACE] dt=0.0054654
[20:00:25.753][TRACE] dt=0.0056692
[20:00:25.758][TRACE] dt=0.0055142
[20:00:25.764][TRACE] dt=0.0054737
[20:00:25.769][TRACE] dt=0.0056032
[20:00:25.775][TRACE] dt=0.0055119
[20:00:25.781][TRACE] dt=0.0055903
[20:00:25.786][TRACE] dt=0.0055911
[20:00:25.792][TRACE] dt=0.0056239
[20:00:25.797][TRACE] dt=0.0055427
[20:00:25.803][TRACE] dt=0.0054654
[20:00:25.808][TRACE] dt=0.0055753
[20:00:25.814][TRACE] dt=0.0056584
[20:00:25.820][TRACE] dt=0.0054646
[20:00:25.825][TRACE] dt=0.0056142
[20:00:25.831][TRACE] dt=0.0055405
[20:00:25.836][TRACE] dt=0.0054557
[20:00:25.842][TRACE] dt=0.0055863
[20:00:25.847][TRACE] dt=0.0055817
[20:00:25.853][TRACE] dt=0.0055598
[20:00:25.859][TRACE] dt=0.0058476
[20:00:25.864][TRACE] dt=0.0054472
[20:00:25.869][TRACE] dt=0.0053029
[20:00:25.875][TRACE] dt=0.0058025
[20:00:25.881][TRACE] dt=0.0054097
[20:00:25.886][TRACE] dt=0.005454
[20:00:25.892][TRACE] dt=0.0061176
[20:00:25.897][TRACE] dt=0.0051156
[20:00:25.903][TRACE] dt=0.0054334
[20:00:25.908][TRACE] dt=0.0055377
[20:00:25.914][TRACE] dt=0.005567
[20:00:25.919][TRACE] dt=0.0055795
[20:00:25.925][TRACE] dt=0.0055451
[20:00:25.931][TRACE] dt=0.0055204
[20:00:25.936][TRACE] dt=0.005591
[20:00:25.942][TRACE] dt=0.0056744
[20:00:25.947][TRACE] dt=0.0054539
[20:00:25.953][TRACE] dt=0.0057413
[20:00:25.958][TRACE] dt=0.0053785
[20:00:25.964][TRACE] dt=0.0056627
[20:00:25.970][TRACE] dt=0.0055306
[20:00:25.975][TRACE] dt=0.0055218
[20:00:25.981][TRACE] dt=0.0055375
[20:00:25.986][TRACE] dt=0.0056193
[20:00:25.992][TRACE] dt=0.0055017
[20:00:25.997][TRACE] dt=0.0056327
[20:00:26.003][TRACE] dt=0.0054672
[20:00:26.008][TRACE] dt=0.0056089
[20:00:26.014][TRACE] dt=0.0054803
[20:00:26.020][TRACE] dt=0.0056223
[20:00:26.025][TRACE] dt=0.005604
[20:00:26.031][TRACE] dt=0.0055275
[20:00:26.036][TRACE] dt=0.0054863
[20:00:26.042][TRACE] dt=0.005588
[20:00:26.047][TRACE] dt=0.0056175
[20:00:26.058][TRACE] dt=0.0056289
[20:00:26.064][TRACE] dt=0.0055146
[20:00:26.069][TRACE] dt=0.0055279
[20:00:26.075][TRACE] dt=0.0055314
[20:00:26.081][TRACE] dt=0.0056055
[20:00:26.086][TRACE] dt=0.0055673
[20:00:26.092][TRACE] dt=0.0055399
[20:00:26.097][TRACE] dt=0.0056298
[20:00:26.103][TRACE] dt=0.0055119
[20:00:26.108][TRACE] dt=0.0056058
[20:00:26.114][TRACE] dt=0.0054678
[20:00:26.120][TRACE] dt=0.0055919
[20:00:26.125][TRACE] dt=0.005597
[20:00:26.131][TRACE] dt=0.0054372
[20:00:26.136][TRACE] dt=0.0055897
[20:00:26.142][TRACE] dt=0.0062702
[20:00:26.147][TRACE] dt=0.0048746
[20:00:26.153][TRACE] dt=0.0055537
[20:00:26.159][TRACE] dt=0.0056484
[20:00:26.164][TRACE] dt=0.0054707
[20:00:26.170][TRACE] dt=0.0055974
[20:00:26.175][TRACE] dt=0.0056888
[20:00:26.181][TRACE] dt=0.005446
[20:00:26.186][TRACE] dt=0.0056809
[20:00:26.192][TRACE] dt=0.0055732
[20:00:26.197][TRACE] dt=0.0053959
[20:00:26.203][TRACE] dt=0.0056582
[20:00:26.208][TRACE] dt=0.0054328
[20:00:26.214][TRACE] dt=0.0060181
[20:00:26.220][TRACE] dt=0.0051764
[20:00:26.225][TRACE] dt=0.0054033
[20:00:26.231][TRACE] dt=0.0055452
[20:00:26.236][TRACE] dt=0.0056763
[20:00:26.242][TRACE] dt=0.0054306
[20:00:26.247][TRACE] dt=0.0055458
[20:00:26.253][TRACE] dt=0.0057507
[20:00:26.258][TRACE] dt=0.005434
[20:00:26.264][TRACE] dt=0.0059365
[20:00:26.270][TRACE] dt=0.0051942
[20:00:26.275][TRACE] dt=0.0055615
[20:00:26.281][TRACE] dt=0.0056567
[20:00:26.286][TRACE] dt=0.0054242
[20:00:26.292][TRACE] dt=0.0057688
[20:00:26.298][TRACE] dt=0.0056785
[20:00:26.303][TRACE] dt=0.0052604
[20:00:26.308][TRACE] dt=0.0055196
[20:00:26.314][TRACE] dt=0.0055769
[20:00:26.320][TRACE] dt=0.0055984
[20:00:26.325][TRACE] dt=0.0055899
[20:00:26.331][TRACE] dt=0.0060945
[20:00:26.337][TRACE] dt=0.0054041
[20:00:26.342][TRACE] dt=0.0052008
[20:00:26.347][TRACE] dt=0.0054872
[20:00:26.353][TRACE] dt=0.005589
[20:00:26.359][TRACE] dt=0.0057963
[20:00:26.364][TRACE] dt=0.005229
[20:00:26.370][TRACE] dt=0.0056404
[20:00:26.375][TRACE] dt=0.0055636
[20:00:26.381][TRACE] dt=0.0056084
[20:00:26.386][TRACE] dt=0.0054948
[20:00:26.392][TRACE] dt=0.0055366
[20:00:26.397][TRACE] dt=0.0055498
[20:00:26.403][TRACE] dt=0.0054673
[20:00:26.409][TRACE] dt=0.0060141
[20:00:26.414][TRACE] dt=0.0052111
[20:00:26.420][TRACE] dt=0.0055788
[20:00:26.425][TRACE] dt=0.0053674
[20:00:26.431][TRACE] dt=0.0055465
[20:00:26.436][TRACE] dt=0.0058324
[20:00:26.442][TRACE] dt=0.0053955
[20:00:26.447][TRACE] dt=0.0055392
[20:00:26.453][TRACE] dt=0.0060045
[20:00:26.459][TRACE] dt=0.0055749
[20:00:26.464][TRACE] dt=0.0051815
[20:00:26.470][TRACE] dt=0.0055822
[20:00:26.475][TRACE] dt=0.0056158
[20:00:26.481][TRACE] dt=0.0054373
[20:00:26.486][TRACE] dt=0.0054823
[20:00:26.492][TRACE] dt=0.0055075
[20:00:26.498][TRACE] dt=0.0059628
[20:00:26.503][TRACE] dt=0.0051727
[20:00:26.509][TRACE] dt=0.005676
[20:00:26.514][TRACE] dt=0.0055054
[20:00:26.520][TRACE] dt=0.0056529
[20:00:26.525][TRACE] dt=0.0054301
[20:00:26.531][TRACE] dt=0.0055268
[20:00:26.536][TRACE] dt=0.0056194
[20:00:26.542][TRACE] dt=0.0055332
[20:00:26.547][TRACE] dt=0.0055859
[20:00:26.558][TRACE] dt=0.0055181
[20:00:26.564][TRACE] dt=0.0055828
[20:00:26.570][TRACE] dt=0.005459
[20:00:26.575][TRACE] dt=0.005868
[20:00:26.581][TRACE] dt=0.0052458
[20:00:26.586][TRACE] dt=0.0056981
[20:00:26.592][TRACE] dt=0.0054742
[20:00:26.597][TRACE] dt=0.0055487
[20:00:26.603][TRACE] dt=0.0055196
[20:00:26.609][TRACE] dt=0.0065146
[20:00:26.614][TRACE] dt=0.004574
[20:00:26.620][TRACE] dt=0.005558
[20:00:26.625][TRACE] dt=0.0056433
[20:00:26.631][TRACE] dt=0.0054841
[20:00:26.636][TRACE] dt=0.0055164
[20:00:26.642][TRACE] dt=0.005748
[20:00:26.648][TRACE] dt=0.0060444
[20:00:26.653][TRACE] dt=0.0048938
[20:00:26.658][TRACE] dt=0.0055924
[20:00:26.664][TRACE] dt=0.0054495
[20:00:26.670][TRACE] dt=0.0057432
[20:00:26.675][TRACE] dt=0.0053609
[20:00:26.681][TRACE] dt=0.0056706
[20:00:26.686][TRACE] dt=0.0056719
[20:00:26.692][TRACE] dt=0.0053356
[20:00:26.697][TRACE] dt=0.0056482
[20:00:26.703][TRACE] dt=0.0055028
[20:00:26.708][TRACE] dt=0.0056184
[20:00:26.714][TRACE] dt=0.0055087
[20:00:26.720][TRACE] dt=0.005569
[20:00:26.725][TRACE] dt=0.0054868
[20:00:26.731][TRACE] dt=0.0057101
[20:00:26.736][TRACE] dt=0.0054667
[20:00:26.742][TRACE] dt=0.0055311
[20:00:26.748][TRACE] dt=0.0058826
[20:00:26.753][TRACE] dt=0.005248
[20:00:26.758][TRACE] dt=0.0055246
[20:00:26.764][TRACE] dt=0.0059837
[20:00:26.769][TRACE] dt=0.0051209
[20:00:26.775][TRACE] dt=0.0055726
[20:00:26.781][TRACE] dt=0.0056265
[20:00:26.786][TRACE] dt=0.0055386
[20:00:26.792][TRACE] dt=0.0055994
[20:00:26.797][TRACE] dt=0.0054744
[20:00:26.803][TRACE] dt=0.0056175
[20:00:26.808][TRACE] dt=0.0054682
[20:00:26.814][TRACE] dt=0.0056091
[20:00:26.820][TRACE] dt=0.0056688
[20:00:26.825][TRACE] dt=0.0055028
[20:00:26.831][TRACE] dt=0.0055105
[20:00:26.836][TRACE] dt=0.0054679
[20:00:26.842][TRACE] dt=0.0060643
[20:00:26.847][TRACE] dt=0.0051448
[20:00:26.853][TRACE] dt=0.0055299
[20:00:26.858][TRACE] dt=0.0055559
[20:00:26.864][TRACE] dt=0.0056069
[20:00:26.869][TRACE] dt=0.0054532
[20:00:26.875][TRACE] dt=0.0056142
[20:00:26.881][TRACE] dt=0.0055606
[20:00:26.886][TRACE] dt=0.0058472
[20:00:26.892][TRACE] dt=0.0052425
[20:00:26.897][TRACE] dt=0.0056968
[20:00:26.903][TRACE] dt=0.005606
[20:00:26.908][TRACE] dt=0.005409
[20:00:26.914][TRACE] dt=0.0055326
[20:00:26.920][TRACE] dt=0.0055801
[20:00:26.925][TRACE] dt=0.005519
[20:00:26.931][TRACE] dt=0.0055389
[20:00:26.936][TRACE] dt=0.0055764
[20:00:26.942][TRACE] dt=0.0054538
[20:00:26.947][TRACE] dt=0.005553
[20:00:26.953][TRACE] dt=0.0056931
[20:00:26.958][TRACE] dt=0.0055013
[20:00:26.964][TRACE] dt=0.0058387
[20:00:26.969][TRACE] dt=0.0052507
[20:00:26.975][TRACE] dt=0.0056422
[20:00:26.981][TRACE] dt=0.0055594
[20:00:26.986][TRACE] dt=0.0054443
[20:00:26.992][TRACE] dt=0.0055589
[20:00:26.997][TRACE] dt=0.0056956
[20:00:27.003][TRACE] dt=0.0054303
[20:00:27.008][TRACE] dt=0.0055273
[20:00:27.014][TRACE] dt=0.0057458
[20:00:27.020][TRACE] dt=0.0055391
[20:00:27.025][TRACE] dt=0.0054724
[20:00:27.031][TRACE] dt=0.005568
[20:00:27.036][TRACE] dt=0.0055765
[20:00:27.042][TRACE] dt=0.0055313
[20:00:27.047][TRACE] dt=0.0055433
[20:00:27.059][TRACE] dt=0.0055378
[20:00:27.064][TRACE] dt=0.005421
[20:00:27.069][TRACE] dt=0.0055393
[20:00:27.075][TRACE] dt=0.0056749
[20:00:27.081][TRACE] dt=0.0054413
[20:00:27.086][TRACE] dt=0.0056059
[20:00:27.092][TRACE] dt=0.0055107
[20:00:27.097][TRACE] dt=0.0055977
[20:00:27.103][TRACE] dt=0.0055107
[20:00:27.108][TRACE] dt=0.0056268
[20:00:27.114][TRACE] dt=0.0054492
[20:00:27.120][TRACE] dt=0.0056607
[20:00:27.125][TRACE] dt=0.0055502
[20:00:27.131][TRACE] dt=0.0055578
[20:00:27.136][TRACE] dt=0.0057621
[20:00:27.142][TRACE] dt=0.0053247
[20:00:27.147][TRACE] dt=0.0054874
[20:00:27.153][TRACE] dt=0.0056676
[20:00:27.158][TRACE] dt=0.0055635
[20:00:27.164][TRACE] dt=0.005468
[20:00:27.170][TRACE] dt=0.0056105
[20:00:27.175][TRACE] dt=0.0054832
[20:00:27.181][TRACE] dt=0.0056116
[20:00:27.187][TRACE] dt=0.0061978
[20:00:27.192][TRACE] dt=0.0049177
[20:00:27.197][TRACE] dt=0.0054993
[20:00:27.203][TRACE] dt=0.0056384
[20:00:27.208][TRACE] dt=0.0056106
[20:00:27.214][TRACE] dt=0.0056761
[20:00:27.220][TRACE] dt=0.0054169
[20:00:27.225][TRACE] dt=0.0054567
[20:00:27.231][TRACE] dt=0.0057416
[20:00:27.236][TRACE] dt=0.0053861
[20:00:27.242][TRACE] dt=0.0056331
[20:00:27.247][TRACE] dt=0.0056124
[20:00:27.253][TRACE] dt=0.0054765
[20:00:27.258][TRACE] dt=0.0055522
[20:00:27.264][TRACE] dt=0.0058373
[20:00:27.270][TRACE] dt=0.0052687
[20:00:27.275][TRACE] dt=0.0054829
[20:00:27.281][TRACE] dt=0.0056031
[20:00:27.286][TRACE] dt=0.005514
[20:00:27.292][TRACE] dt=0.005604
[20:00:27.297][TRACE] dt=0.0055503
[20:00:27.303][TRACE] dt=0.0055237
[20:00:27.309][TRACE] dt=0.0056923
[20:00:27.314][TRACE] dt=0.0054929
[20:00:27.319][TRACE] dt=0.0054831
[20:00:27.326][TRACE] dt=0.0061245
[20:00:27.331][TRACE] dt=0.0050911
[20:14:10.589][TRACE] dt=0.0004539
[20:14:10.608][TRACE] dt=0.0188231
[20:14:10.732][TRACE] dt=0.124022
[20:14:10.737][TRACE] dt=0.0050909
[20:14:10.742][TRACE] dt=0.0049194
[20:14:10.746][TRACE] dt=0.0038788
[20:14:10.750][TRACE] dt=0.0036603
[20:14:10.753][TRACE] dt=0.0036127
[20:14:10.758][TRACE] dt=0.0048892
[20:14:10.764][TRACE] dt=0.0055846
[20:14:10.770][TRACE] dt=0.0059311
[20:14:10.775][TRACE] dt=0.0055935
[20:14:10.780][TRACE] dt=0.0052534
[20:14:10.786][TRACE] dt=0.005393
[20:14:10.791][TRACE] dt=0.0056786
[20:14:10.797][TRACE] dt=0.0054089
[20:14:10.802][TRACE] dt=0.0055362
[20:14:10.808][TRACE] dt=0.0055015
[20:14:10.814][TRACE] dt=0.0058067
[20:14:10.819][TRACE] dt=0.0053032
[20:14:10.824][TRACE] dt=0.0054578
[20:14:10.830][TRACE] dt=0.0056256
[20:14:10.836][TRACE] dt=0.005523
[20:14:10.841][TRACE] dt=0.0055374
[20:14:10.847][TRACE] dt=0.0057665
[20:14:10.852][TRACE] dt=0.0053394
[20:14:10.858][TRACE] dt=0.0055671
[20:14:10.864][TRACE] dt=0.0057117
[20:14:10.869][TRACE] dt=0.0054195
[20:14:10.875][TRACE] dt=0.0055962
[20:14:10.880][TRACE] dt=0.0055417
[20:14:10.886][TRACE] dt=0.0055205
[20:14:10.891][TRACE] dt=0.0056758
[20:14:10.897][TRACE] dt=0.0054737
[20:14:10.902][TRACE] dt=0.005509
[20:14:10.908][TRACE] dt=0.0061948
[20:14:10.913][TRACE] dt=0.0048569
[20:14:10.919][TRACE] dt=0.0056065
[20:14:10.925][TRACE] dt=0.0060159
[20:14:10.930][TRACE] dt=0.0052747
[20:14:10.935][TRACE] dt=0.005233
[20:14:10.941][TRACE] dt=0.0058873
[20:14:10.947][TRACE] dt=0.0053532
[20:14:10.952][TRACE] dt=0.0054235
[20:14:10.958][TRACE] dt=0.0057061
[20:14:10.963][TRACE] dt=0.0054799
[20:14:10.969][TRACE] dt=0.0055446
[20:14:10.975][TRACE] dt=0.0056829
[20:14:10.980][TRACE] dt=0.0055351
[20:14:10.986][TRACE] dt=0.0060971
[20:14:10.991][TRACE] dt=0.0048767
[20:14:10.997][TRACE] dt=0.0058568
[20:14:11.002][TRACE] dt=0.0053353
[20:14:11.008][TRACE] dt=0.0061131
[20:14:11.014][TRACE] dt=0.0054478
[20:14:11.019][TRACE] dt=0.0051091
[20:14:11.024][TRACE] dt=0.0055146
[20:14:11.030][TRACE] dt=0.0055351
[20:14:11.036][TRACE] dt=0.0062877
[20:14:11.041][TRACE] dt=0.0049094
[20:14:11.047][TRACE] dt=0.0055199
[20:14:11.052][TRACE] dt=0.0055353
[20:14:11.058][TRACE] dt=0.0055173
[20:14:11.063][TRACE] dt=0.0057162
[20:14:11.069][TRACE] dt=0.0054943
[20:14:11.075][TRACE] dt=0.0061168
[20:14:11.080][TRACE] dt=0.0050963
[20:14:11.086][TRACE] dt=0.0053405
[20:14:11.097][TRACE] dt=0.0056692
[20:14:11.102][TRACE] dt=0.005377
[20:14:11.108][TRACE] dt=0.0055548
[20:14:11.114][TRACE] dt=0.0057312
[20:14:11.119][TRACE] dt=0.0056438
[20:14:11.124][TRACE] dt=0.0052085
[20:14:11.130][TRACE] dt=0.0056239
[20:14:11.135][TRACE] dt=0.0054737
[20:14:11.141][TRACE] dt=0.0057413
[20:14:11.147][TRACE] dt=0.005932
[20:14:11.152][TRACE] dt=0.0052555
[20:14:11.158][TRACE] dt=0.0056817
[20:14:11.163][TRACE] dt=0.005219
[20:14:11.169][TRACE] dt=0.0055394
[20:14:11.175][TRACE] dt=0.0056483
[20:14:11.180][TRACE] dt=0.0055009
[20:14:11.186][TRACE] dt=0.0056973
[20:14:11.191][TRACE] dt=0.0055606
[20:14:11.197][TRACE] dt=0.0055993
[20:14:11.203][TRACE] dt=0.0059575
[20:14:11.208][TRACE] dt=0.0051277
[20:14:11.214][TRACE] dt=0.0058427
[20:14:11.219][TRACE] dt=0.0056642
[20:14:11.224][TRACE] dt=0.004942
[20:14:11.230][TRACE] dt=0.0055322
[20:14:11.236][TRACE] dt=0.0058391
[20:14:11.241][TRACE] dt=0.0053236
[20:14:11.247][TRACE] dt=0.0056231
[20:14:11.252][TRACE] dt=0.0055552
[20:14:11.258][TRACE] dt=0.005525
[20:14:11.263][TRACE] dt=0.0056397
[20:14:11.269][TRACE] dt=0.0055206
[20:14:11.274][TRACE] dt=0.0055163
[20:14:11.280][TRACE] dt=0.0056943
[20:14:11.285][TRACE] dt=0.0053087
[20:14:11.291][TRACE] dt=0.0056022
[20:14:11.297][TRACE] dt=0.0056246
[20:14:11.302][TRACE] dt=0.0055294
[20:14:11.308][TRACE] dt=0.0056462
[20:14:11.314][TRACE] dt=0.005827
[20:14:11.319][TRACE] dt=0.0051905
[20:14:11.324][TRACE] dt=0.0054794
[20:14:11.330][TRACE] dt=0.0056617
[20:14:11.336][TRACE] dt=0.0055081
[20:14:11.341][TRACE] dt=0.0055499
[20:14:11.347][TRACE] dt=0.0057877
[20:14:11.352][TRACE] dt=0.0052674
[20:14:11.358][TRACE] dt=0.0058522
[20:14:11.363][TRACE] dt=0.0053309
[20:14:11.369][TRACE] dt=0.0055588
[20:14:11.375][TRACE] dt=0.0060137
[20:14:11.380][TRACE] dt=0.0054341
[20:14:11.386][TRACE] dt=0.0052601
[20:14:11.391][TRACE] dt=0.0058775
[20:14:11.397][TRACE] dt=0.0053465
[20:14:11.402][TRACE] dt=0.0055262
[20:14:11.408][TRACE] dt=0.0054209
[20:14:11.413][TRACE] dt=0.0056531
[20:14:11.419][TRACE] dt=0.0056635
[20:14:11.425][TRACE] dt=0.0054186
[20:14:11.430][TRACE] dt=0.005581
[20:14:11.436][TRACE] dt=0.0057607
[20:14:11.441][TRACE] dt=0.0053445
[20:14:11.447][TRACE] dt=0.0055735
